Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180726103846-9582-R02-C05	6	3107	517.833	0.296	255	255	132047.500
20180726103846-9583-R02-C05	6	2727	454.500	0.260	255	255	115897.500
20180726173820-6275-R02-C05	19	8828	464.632	0.842	255	255	118481.053
20180726173820-6276-R02-C05	12	4704	392.000	0.449	255	255	99960.000
20180726173820-6277-R02-C05	24	11255	468.958	1.073	255	255	119584.375
20180726173820-6278-R02-C05	7	3317	473.857	0.316	255	255	120833.571
20180726173820-6279-R02-C05	11	6145	558.636	0.586	255	255	142452.273
20180726173820-6280-R02-C05	20	10292	514.600	0.982	255	255	131223.000
20180726173820-6281-R02-C05	22	12174	553.364	1.161	255	255	141107.727
20180726173820-6282-R02-C05	8	4607	575.875	0.439	255	255	146848.125
20180726173820-6283-R02-C05	12	6914	576.167	0.659	255	255	146922.500
20180727121521-16055-R02-C05	15	5548	369.867	0.529	255	255	94316.000
20180727121521-16056-R02-C05	8	3171	396.375	0.302	255	255	101075.625
20180727121521-16057-R02-C05	20	6989	349.450	0.667	255	255	89109.750
20180727121521-16058-R02-C05	9	5176	575.111	0.494	255	255	146653.333
20180727121521-16059-R02-C05	11	4511	410.091	0.430	255	255	104573.182
20180727121521-16060-R02-C05	23	9680	420.870	0.923	255	255	107321.739
20180727121521-16061-R02-C05	17	7624	448.471	0.727	255	255	114360.000
20180727121521-16062-R02-C05	13	6810	523.846	0.649	255	255	133580.769
20180727121521-16063-R02-C05	11	4959	450.818	0.473	255	255	114958.636
20180727173536-575-R02-C05	17	7242	426.000	0.691	255	255	108630.000
20180727173536-576-R02-C05	9	3434	381.556	0.327	255	255	97296.667
20180727173536-577-R02-C05	19	5443	286.474	0.519	255	255	73050.789
20180727173536-578-R02-C05	9	4395	488.333	0.419	255	255	124525.000
20180727173536-579-R02-C05	11	4158	378.000	0.397	255	255	96390.000
20180727173536-580-R02-C05	22	8230	374.091	0.785	255	255	95393.182
20180727173536-581-R02-C05	16	8494	530.875	0.810	255	255	135373.125
20180727173536-582-R02-C05	13	6173	474.846	0.589	255	255	121085.769
20180727173536-583-R02-C05	8	3700	462.500	0.353	255	255	117937.500
20180728165149-17915-R02-C05	16	5732	358.250	0.547	254.930	255	91321.875
20180728165149-17916-R02-C05	8	2683	335.375	0.256	255	255	85520.625
20180728165149-17917-R02-C05	13	5987	460.538	0.571	255	255	117437.308
20180728165149-17918-R02-C05	11	2871	261.000	0.274	255	255	66555.000
20180728165149-17919-R02-C05	5	2345	469.000	0.224	255	255	119595.000
20180728165149-17920-R02-C05	14	7070	505.000	0.674	255	255	128775.000
20180728165149-17921-R02-C05	11	6376	579.636	0.608	254.966	255	147784.091
20180728165149-17922-R02-C05	4	1878	469.500	0.179	255	255	119722.500
20180728165149-17923-R02-C05	4	1627	406.750	0.155	255	255	103721.250
20180729131702-3575-R02-C05	16	4663	291.438	0.445	255	255	74316.562
20180729131702-3576-R02-C05	6	2338	389.667	0.223	255	255	99365.000
20180729131702-3577-R02-C05	19	5908	310.947	0.563	255	255	79291.579
20180729131702-3578-R02-C05	9	1514	168.222	0.144	255	255	42896.667
20180729131702-3579-R02-C05	7	2251	321.571	0.215	255	255	82000.714
20180729131702-3580-R02-C05	17	8702	511.882	0.830	255	255	130530.000
20180729131702-3581-R02-C05	14	6556	468.286	0.625	255	255	119412.857
20180729131702-3582-R02-C05	8	2730	341.250	0.260	255	255	87018.750
20180729131702-3583-R02-C05	4	1253	313.250	0.119	255	255	79878.750
20180723111937-7380-R02-C06	32	20070	627.188	1.914	255	255	159932.812
20180723111937-7381-R02-C06	26	14760	567.692	1.408	255	255	144761.538
20180723111937-7382-R02-C06	34	19546	574.882	1.864	255	255	146595.000
20180723111937-7383-R02-C06	19	9494	499.684	0.905	255	255	127419.474
20180723111937-7384-R02-C06	16	10083	630.188	0.962	255	255	160697.812
20180723111937-7385-R02-C06	25	14146	565.840	1.349	255	255	144289.200
20180723111937-7386-R02-C06	17	9355	550.294	0.892	255	255	140325.000
20180723111937-7387-R02-C06	12	7036	586.333	0.671	255	255	149515.000
20180723111937-7388-R02-C06	37	19836	536.108	1.892	255	255	136707.568
20180723170240-2100-R02-C06	47	22176	471.830	2.115	255	255	120316.596
20180723170240-2101-R02-C06	25	11681	467.240	1.114	255	255	119146.200
20180723170240-2102-R02-C06	38	18430	485.000	1.758	255	255	123675.000
20180723170240-2103-R02-C06	21	10157	483.667	0.969	255	255	123335.000
20180723170240-2104-R02-C06	18	11191	621.722	1.067	255	255	158539.167
20180723170240-2105-R02-C06	27	13244	490.519	1.263	255	255	125082.222
20180723170240-2106-R02-C06	17	8205	482.647	0.782	255	255	123075.000
20180723170240-2107-R02-C06	14	6878	491.286	0.656	255	255	125277.857
20180723170240-2108-R02-C06	40	18863	471.575	1.799	255	255	120251.625
20180724111727-7380-R02-C06	46	23538	511.696	2.245	255	255	130482.391
20180724111727-7381-R02-C06	36	18023	500.639	1.719	255	255	127662.917
20180724111727-7382-R02-C06	43	19313	449.140	1.842	255	255	114530.581
20180724111727-7383-R02-C06	22	10462	475.545	0.998	255	255	121264.091
20180724111727-7384-R02-C06	16	7852	490.750	0.749	255	255	125141.250
20180724111727-7385-R02-C06	30	13703	456.767	1.307	255	255	116475.500
20180724111727-7386-R02-C06	11	5229	475.364	0.499	255	255	121217.727
20180724111727-7387-R02-C06	22	10687	485.773	1.019	255	255	123872.045
20180724111727-7388-R02-C06	39	19318	495.333	1.842	255	255	126310.000
