Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180723162902-11839-R02-C06	17	8463	497.824	0.807	255	255	126945.000
20180723162902-11840-R02-C06	28	14438	515.643	1.377	255	255	131488.929
20180723162902-11841-R02-C06	41	22062	538.098	2.104	255	255	137214.878
20180723162902-11842-R02-C06	36	17001	472.250	1.621	255	255	120423.750
20180723162902-11843-R02-C06	65	32956	507.015	3.143	255	255	129288.923
20180724092856-600-R02-C06	89	43560	489.438	4.154	255	255	124806.742
20180724092856-601-R02-C06	107	54427	508.664	5.191	255	255	129709.206
20180724092856-602-R02-C06	60	31066	517.767	2.963	255	255	132030.500
20180724092856-603-R02-C06	43	21159	492.070	2.018	255	255	125477.791
20180724092856-604-R02-C06	29	14105	486.379	1.345	255	255	124026.724
20180724092856-605-R02-C06	41	20642	503.463	1.969	255	255	128383.171
20180724092856-606-R02-C06	60	33415	556.917	3.187	255	255	142013.750
20180724092856-607-R02-C06	63	26600	422.222	2.537	255	255	107666.667
20180724092856-608-R02-C06	82	41408	504.976	3.949	254.996	255	128765.671
20180724163050-10380-R02-C06	107	48942	457.402	4.667	255	255	116637.477
20180724163050-10381-R02-C06	127	58857	463.441	5.613	255	255	118177.441
20180724163050-10382-R02-C06	65	30812	474.031	2.938	255	255	120877.846
20180724163050-10383-R02-C06	52	24723	475.442	2.358	255	255	121237.788
20180724163050-10384-R02-C06	32	13880	433.750	1.324	255	255	110606.250
20180724163050-10385-R02-C06	58	24758	426.862	2.361	255	255	108849.828
20180724163050-10386-R02-C06	66	34811	527.439	3.320	255	255	134497.045
20180724163050-10387-R02-C06	64	29361	458.766	2.800	255	255	116985.234
20180724163050-10388-R02-C06	111	53250	479.730	5.078	254.996	255	122328.784
20180725090552-600-R02-C06	174	79029	454.190	7.537	255	255	115818.362
20180725090552-601-R02-C06	204	100109	490.730	9.547	255	255	125136.250
20180725090552-602-R02-C06	100	46239	462.390	4.410	255	255	117909.450
20180725090552-603-R02-C06	85	42353	498.271	4.039	255	255	127059.000
20180725090552-604-R02-C06	52	25284	486.231	2.411	255	255	123988.846
20180725090552-605-R02-C06	83	36627	441.289	3.493	255	255	112528.735
20180725090552-606-R02-C06	101	50046	495.505	4.773	254.995	255	126351.238
20180725090552-607-R02-C06	111	49742	448.126	4.744	255	255	114272.162
20180725090552-608-R02-C06	161	73923	459.149	7.050	254.997	255	117081.429
20180725160029-10380-R02-C06	215	91299	424.647	8.707	255	255	108284.860
20180725160029-10381-R02-C06	219	106022	484.119	10.111	254.990	255	123449.110
20180725160029-10382-R02-C06	119	51720	434.622	4.932	255	255	110828.571
20180725160029-10383-R02-C06	94	44277	471.032	4.223	255	255	120113.138
20180725160029-10384-R02-C06	47	20611	438.532	1.966	255	255	111825.638
20180725160029-10385-R02-C06	72	32752	454.889	3.123	255	255	115996.667
20180725160029-10386-R02-C06	118	56940	482.542	5.430	254.997	255	123046.144
20180725160029-10387-R02-C06	119	51565	433.319	4.918	255	255	110496.429
20180725160029-10388-R02-C06	172	80595	468.576	7.686	255	255	119486.773
20180726090619-600-R02-C06	313	136546	436.249	13.022	255	255	111243.546
20180726090619-601-R02-C06	353	169567	480.360	16.171	255	255	122491.742
20180726090619-602-R02-C06	230	103075	448.152	9.830	255	255	114278.804
20180726090619-603-R02-C06	148	71835	485.372	6.851	255	255	123769.764
20180726090619-604-R02-C06	95	43919	462.305	4.188	255	255	117887.842
20180726090619-605-R02-C06	131	58263	444.756	5.556	255	255	113412.710
20180726090619-606-R02-C06	186	88971	478.339	8.485	255	255	121976.371
20180726090619-607-R02-C06	174	78781	452.764	7.513	255	255	115454.914
20180726090619-608-R02-C06	282	124611	441.883	11.884	254.993	255	112678.351
20180726100534-6600-R02-C06	302	138447	458.434	13.203	255	255	116900.613
20180726100534-6601-R02-C06	359	177999	495.819	16.975	254.999	255	126433.120
20180726100534-6602-R02-C06	233	107219	460.167	10.225	255	255	117342.682
20180726100534-6603-R02-C06	164	76274	465.085	7.274	255	255	118596.768
20180726100534-6604-R02-C06	87	38152	438.529	3.638	255	255	111824.828
20180726100534-6605-R02-C06	128	59221	462.664	5.648	255	255	117979.336
