Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180728163845-16440-R02-C06	738	322758	437.341	30.781	255	255	111522.073
20180728163845-16441-R02-C06	560	239260	427.250	22.818	255	255	108948.750
20180728163845-16442-R02-C06	433	223618	516.439	21.326	255	255	131691.894
20180728163845-16443-R02-C06	486	216952	446.403	20.690	255	255	113832.840
20180728163845-16444-R02-C06	375	154516	412.043	14.736	255	255	105070.880
20180728163845-16445-R02-C06	606	262744	433.571	25.057	255	255	110560.594
20180728163845-16446-R02-C06	587	275872	469.969	26.309	255	255	119842.181
20180728163845-16447-R02-C06	435	193866	445.669	18.489	255	255	113645.586
20180728163845-16448-R02-C06	374	183728	491.251	17.522	254.995	255	125267.045
20180729130412-2100-R02-C06	817	363801	445.289	34.695	255	255	113548.660
20180729130412-2101-R02-C06	674	292942	434.632	27.937	255	255	110831.172
20180729130412-2102-R02-C06	549	275758	502.291	26.298	255.000	255	128083.852
20180729130412-2103-R02-C06	599	266937	445.638	25.457	255	255	113637.621
20180729130412-2104-R02-C06	509	215245	422.878	20.527	254.999	255	107833.438
20180729130412-2105-R02-C06	728	321493	441.611	30.660	255	255	112610.872
20180729130412-2106-R02-C06	638	299158	468.900	28.530	255	255	119569.420
20180729130412-2107-R02-C06	616	269311	437.193	25.683	255	255	111484.261
20180729130412-2108-R02-C06	508	243634	479.594	23.235	254.996	255	122295.591
20180723105726-6155-R02-C07	44	19356	439.909	1.846	255	255	112176.818
20180723105726-6156-R02-C07	34	19503	573.618	1.860	255	255	146272.500
20180723105726-6157-R02-C07	28	17789	635.321	1.696	255	255	162006.964
20180723105726-6158-R02-C07	36	18317	508.806	1.747	255	255	129745.417
20180723105726-6159-R02-C07	23	13665	594.130	1.303	255	255	151503.261
20180723105726-6160-R02-C07	40	20369	509.225	1.943	255	255	129852.375
20180723105726-6161-R02-C07	15	9958	663.867	0.950	255	255	169286.000
20180723105726-6162-R02-C07	22	10009	454.955	0.955	255	255	116013.409
20180723105726-6163-R02-C07	28	18255	651.964	1.741	255	255	166250.893
20180723164442-875-R02-C07	39	20637	529.154	1.968	255	255	134934.231
20180723164442-876-R02-C07	33	18071	547.606	1.723	255	255	139639.545
20180723164442-877-R02-C07	34	19104	561.882	1.822	255	255	143280.000
20180723164442-878-R02-C07	39	21585	553.462	2.059	255	255	141132.692
20180723164442-879-R02-C07	19	10497	552.474	1.001	255	255	140880.789
20180723164442-880-R02-C07	36	20426	567.389	1.948	255	255	144684.167
20180723164442-881-R02-C07	15	8645	576.333	0.824	254.958	255	146948.000
20180723164442-882-R02-C07	23	12500	543.478	1.192	255	255	138586.957
20180723164442-883-R02-C07	30	17517	583.900	1.671	255	255	148894.500
20180724110416-6155-R02-C07	67	32496	485.015	3.099	255	255	123678.806
20180724110416-6156-R02-C07	79	40886	517.544	3.899	255	255	131973.797
20180724110416-6157-R02-C07	57	29433	516.368	2.807	255	255	131673.947
20180724110416-6158-R02-C07	66	33439	506.652	3.189	255	255	129196.136
20180724110416-6159-R02-C07	26	15184	584.000	1.448	255	255	148920.000
20180724110416-6160-R02-C07	71	34673	488.352	3.307	255	255	124529.789
20180724110416-6161-R02-C07	32	18013	562.906	1.718	255	255	143541.094
20180724110416-6162-R02-C07	39	20897	535.821	1.993	255	255	136634.231
20180724110416-6163-R02-C07	51	27906	547.176	2.661	255	255	139530.000
20180724164632-12155-R02-C07	89	41786	469.506	3.985	255	255	119723.933
20180724164632-12156-R02-C07	89	42989	483.022	4.100	255	255	123170.730
20180724164632-12157-R02-C07	62	33644	542.645	3.209	255	255	138374.516
20180724164632-12158-R02-C07	75	35174	468.987	3.354	255	255	119591.600
20180724164632-12159-R02-C07	41	16892	412.000	1.611	255	255	105060.000
20180724164632-12160-R02-C07	86	41399	481.384	3.948	255	255	122752.849
20180724164632-12161-R02-C07	36	17535	487.083	1.672	255	255	124206.250
20180724164632-12162-R02-C07	56	26333	470.232	2.511	255	255	119909.196
20180724164632-12163-R02-C07	57	30945	542.895	2.951	255	255	138438.158
20180725091930-2375-R02-C07	115	53208	462.678	5.074	255	255	117982.957
