Slice	Count	Total Area	Average Size	%Area	Mean	Mode	IntDen
20180723113406-8888-R02-C06	36	20438	567.722	1.949	255	255	144769.167
20180723172229-3600-R02-C06	35	13586	388.171	1.296	255	255	98983.714
20180723172229-3601-R02-C06	32	13612	425.375	1.298	255	255	108470.625
20180723172229-3602-R02-C06	48	22145	461.354	2.112	255	255	117645.312
20180723172229-3603-R02-C06	48	20933	436.104	1.996	255	255	111206.562
20180723172229-3604-R02-C06	32	13502	421.938	1.288	255	255	107594.062
20180723172229-3605-R02-C06	48	19723	410.896	1.881	255	255	104778.438
20180723172229-3606-R02-C06	33	14341	434.576	1.368	255	255	110816.818
20180723172229-3607-R02-C06	37	16520	446.486	1.575	255	255	113854.054
20180723172229-3608-R02-C06	53	27110	511.509	2.585	255	255	130434.906
20180724113833-8880-R02-C06	28	8741	312.179	0.834	255	255	79605.536
20180724113833-8881-R02-C06	31	10249	330.613	0.977	255	255	84306.290
20180724113833-8882-R02-C06	42	15826	376.810	1.509	255	255	96086.429
20180724113833-8883-R02-C06	41	15321	373.683	1.461	255	255	95289.146
20180724113833-8884-R02-C06	25	7335	293.400	0.700	255	255	74817.000
20180724113833-8885-R02-C06	49	18124	369.878	1.728	255	255	94318.776
20180724113833-8886-R02-C06	26	9988	384.154	0.953	255	255	97959.231
20180724113833-8887-R02-C06	34	13202	388.294	1.259	255	255	99015.000
20180724113833-8888-R02-C06	43	17480	406.512	1.667	255	255	103660.465
20180724171552-14880-R02-C06	24	7403	308.458	0.706	255	255	78656.875
20180724171552-14881-R02-C06	33	11399	345.424	1.087	255	255	88083.182
20180724171552-14882-R02-C06	36	15089	419.139	1.439	255	255	106880.417
20180724171552-14883-R02-C06	40	16055	401.375	1.531	255	255	102350.625
20180724171552-14884-R02-C06	14	5726	409.000	0.546	255	255	104295.000
20180724171552-14885-R02-C06	37	13874	374.973	1.323	255	255	95618.108
20180724171552-14886-R02-C06	24	9435	393.125	0.900	255	255	100246.875
20180724171552-14887-R02-C06	33	12766	386.848	1.217	255	255	98646.364
20180724171552-14888-R02-C06	36	16197	449.917	1.545	255	255	114728.750
20180725094541-5100-R02-C06	17	4539	267.000	0.433	255	255	68085.000
20180725094541-5101-R02-C06	21	6485	308.810	0.618	255	255	78746.429
20180725094541-5102-R02-C06	28	12046	430.214	1.149	255	255	109704.643
20180725094541-5103-R02-C06	31	11990	386.774	1.143	255	255	98627.419
20180725094541-5104-R02-C06	12	4825	402.083	0.460	255	255	102531.250
20180725094541-5105-R02-C06	31	12642	407.806	1.206	255	255	103990.645
20180725094541-5106-R02-C06	17	8149	479.353	0.777	255	255	122235.000
20180725094541-5107-R02-C06	22	9517	432.591	0.908	255	255	110310.682
20180725094541-5108-R02-C06	27	14299	529.593	1.364	255	255	135046.111
20180725164220-14880-R02-C06	14	4452	318.000	0.425	255	255	81090.000
20180725164220-14881-R02-C06	16	5028	314.250	0.480	255	255	80133.750
20180725164220-14882-R02-C06	30	13243	441.433	1.263	255	255	112565.500
20180725164220-14883-R02-C06	24	9943	414.292	0.948	255	255	105644.375
20180725164220-14884-R02-C06	12	4891	407.583	0.466	255	255	103933.750
20180725164220-14885-R02-C06	28	11064	395.143	1.055	255	255	100761.429
20180725164220-14886-R02-C06	18	7817	434.278	0.745	255	255	110740.833
20180725164220-14887-R02-C06	22	9673	439.682	0.922	255	255	112118.864
20180725164220-14888-R02-C06	27	14387	532.852	1.372	255	255	135877.222
20180726094504-5100-R02-C06	15	5413	360.867	0.516	255	255	92021.000
20180726094504-5101-R02-C06	15	6448	429.867	0.615	255	255	109616.000
20180726094504-5102-R02-C06	24	13369	557.042	1.275	255	255	142045.625
20180726094504-5103-R02-C06	26	12103	465.500	1.154	255	255	118702.500
20180726094504-5104-R02-C06	10	3856	385.600	0.368	255	255	98328.000
20180726094504-5105-R02-C06	21	10334	492.095	0.986	255	255	125484.286
20180726094504-5106-R02-C06	14	6199	442.786	0.591	255	255	112910.357
20180726094504-5107-R02-C06	12	5091	424.250	0.486	255	255	108183.750
20180726094504-5108-R02-C06	25	14164	566.560	1.351	255	255	144472.800
20180726105156-11100-R02-C06	8	3886	485.750	0.371	255	255	123866.250
20180726105156-11101-R02-C06	10	5040	504.000	0.481	255	255	128520.000
20180726105156-11102-R02-C06	14	6115	436.786	0.583	255	255	111380.357
20180726105156-11103-R02-C06	14	9162	654.429	0.874	255	255	166879.286
20180726105156-11104-R02-C06	6	2606	434.333	0.249	255	255	110755.000
20180726105156-11105-R02-C06	13	7294	561.077	0.696	255	255	143074.615
20180726105156-11106-R02-C06	9	4459	495.444	0.425	255	255	126338.333
20180726105156-11107-R02-C06	3	1503	501.000	0.143	255	255	127755.000
20180726105156-11108-R02-C06	19	10574	556.526	1.008	255	255	141914.211
20180726175235-7800-R02-C06	6	2280	380.000	0.217	255	255	96900.000
20180726175235-7801-R02-C06	11	4902	445.636	0.467	255	255	113637.273
20180726175235-7802-R02-C06	10	4055	405.500	0.387	255	255	103402.500
20180726175235-7803-R02-C06	15	8438	562.533	0.805	255	255	143446.000
20180726175235-7804-R02-C06	6	2240	373.333	0.214	255	255	95200.000
20180726175235-7805-R02-C06	12	5896	491.333	0.562	255	255	125290.000
20180726175235-7806-R02-C06	9	3752	416.889	0.358	255	255	106306.667
20180726175235-7807-R02-C06	8	4227	528.375	0.403	255	255	134735.625
20180726175235-7808-R02-C06	16	7856	491.000	0.749	255	255	125205.000
20180727122826-17580-R02-C06	8	3030	378.750	0.289	255	255	96581.250
20180727122826-17581-R02-C06	10	4131	413.100	0.394	255	255	105340.500
20180727122826-17582-R02-C06	14	7406	529.000	0.706	255	255	134895.000
20180727122826-17583-R02-C06	14	4320	308.571	0.412	255	255	78685.714
20180727122826-17584-R02-C06	3	1160	386.667	0.111	255	255	98600.000
20180727122826-17585-R02-C06	11	5233	475.727	0.499	255	255	121310.455
20180727122826-17586-R02-C06	7	4051	578.714	0.386	255	255	147572.143
20180727122826-17587-R02-C06	5	1970	394.000	0.188	255	255	100470.000
20180727122826-17588-R02-C06	15	6078	405.200	0.580	255	255	103326.000
20180727174754-2100-R02-C06	3	809	269.667	0.077	255	255	68765.000
20180727174754-2101-R02-C06	11	4566	415.091	0.435	255	255	105848.182
20180727174754-2102-R02-C06	7	2842	406.000	0.271	255	255	103530.000
20180727174754-2103-R02-C06	13	3859	296.846	0.368	255	255	75695.769
20180727174754-2104-R02-C06	2	692	346.000	0.066	255	255	88230.000
20180727174754-2105-R02-C06	8	3418	427.250	0.326	255	255	108948.750
20180727174754-2106-R02-C06	7	3920	560.000	0.374	255	255	142800.000
20180727174754-2107-R02-C06	4	2012	503.000	0.192	255	255	128265.000
20180727174754-2108-R02-C06	15	6432	428.800	0.613	255	255	109344.000
20180728170540-19440-R02-C06	5	1934	386.800	0.184	255	255	98634.000
20180728170540-19441-R02-C06	6	2733	455.500	0.261	255	255	116152.500
20180728170540-19442-R02-C06	13	7459	573.769	0.711	255	255	146311.154
20180728170540-19443-R02-C06	5	1702	340.400	0.162	255	255	86802.000
20180728170540-19444-R02-C06	1	591	591.000	0.056	255	255	150705.000
20180728170540-19445-R02-C06	18	6089	338.278	0.581	255	255	86260.833
20180728170540-19446-R02-C06	4	1955	488.750	0.186	255	255	124631.250
20180728170540-19447-R02-C06	4	1769	442.250	0.169	255	255	112773.750
20180728170540-19448-R02-C06	11	5031	457.364	0.480	255	255	116627.727
20180729133105-5100-R02-C06	5	1807	361.400	0.172	255	255	92157.000
20180729133105-5101-R02-C06	5	1894	378.800	0.181	255	255	96594.000
20180729133105-5102-R02-C06	10	5850	585.000	0.558	255	255	149175.000
20180729133105-5103-R02-C06	9	2439	271.000	0.233	255	255	69105.000
20180729133105-5104-R02-C06	2	465	232.500	0.044	255	255	59287.500
20180729133105-5105-R02-C06	16	4764	297.750	0.454	255	255	75926.250
20180729133105-5106-R02-C06	6	3959	659.833	0.378	255	255	168257.500
20180729133105-5107-R02-C06	3	1617	539.000	0.154	255	255	137445.000
20180729133105-5108-R02-C06	12	4775	397.917	0.455	255	255	101468.750
20180723113406-9155-R02-C07	31	13328	429.935	1.271	255	255	109633.548
20180723113406-9156-R02-C07	32	17217	538.031	1.642	255	255	137197.969
