	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	Drug	Conc
R01													NA	uM
R02		40	20	10	5	2.5	1.25	0.625	0.3125	0.15625	0		Erastin	uM
R03		40	20	10	5	2.5	1.25	0.625	0.3125	0.15625	0		Erastin	uM
R04		40	20	10	5	2.5	1.25	0.625	0.3125	0.15625	0		Erastin	uM
R05		40	20	10	5	2.5	1.25	0.625	0.3125	0.15625	0		Ferr-Erastin	uM
R06		40	20	10	5	2.5	1.25	0.625	0.3125	0.15625	0		Ferr-Erastin	uM
R07		40	20	10	5	2.5	1.25	0.625	0.3125	0.15625	0		Ferr-Erastin	uM
R08														
