total_reads	distinct_reads
0	0
1000000	997972
2000000	1.99471e+06
3000000	2.99086e+06
4000000	3.98655e+06
5000000	4.98187e+06
6000000	5.97686e+06
7000000	6.97154e+06
8000000	7.96594e+06
9000000	8.9601e+06
10000000	9.954e+06
11000000	1.09477e+07
12000000	1.19411e+07
13000000	1.29344e+07
14000000	1.39274e+07
15000000	1.49202e+07
16000000	1.59129e+07
17000000	1.69054e+07
18000000	1.78976e+07
19000000	1.88897e+07
20000000	1.98817e+07
21000000	2.08734e+07
22000000	2.1865e+07
23000000	2.28564e+07
24000000	2.38477e+07
25000000	2.48388e+07
26000000	2.58297e+07
27000000	2.68205e+07
28000000	2.78112e+07
29000000	2.88017e+07
30000000	2.9792e+07
31000000	3.07822e+07
32000000	3.17723e+07
33000000	3.27622e+07
34000000	3.3752e+07
35000000	3.47416e+07
