total_reads	distinct_reads
0	0
1000000	997913
2000000	1.99459e+06
3000000	2.99065e+06
4000000	3.98626e+06
5000000	4.98151e+06
6000000	5.97641e+06
7000000	6.97103e+06
8000000	7.96537e+06
9000000	8.95946e+06
10000000	9.95332e+06
11000000	1.09469e+07
12000000	1.19404e+07
13000000	1.29335e+07
14000000	1.39266e+07
15000000	1.49194e+07
16000000	1.5912e+07
17000000	1.69044e+07
18000000	1.78967e+07
19000000	1.88888e+07
20000000	1.98808e+07
21000000	2.08725e+07
22000000	2.18641e+07
23000000	2.28556e+07
24000000	2.38469e+07
25000000	2.4838e+07
26000000	2.5829e+07
27000000	2.68199e+07
28000000	2.78106e+07
29000000	2.88011e+07
30000000	2.97916e+07
31000000	3.07818e+07
32000000	3.1772e+07
33000000	3.2762e+07
34000000	3.37519e+07
35000000	3.47416e+07
36000000	3.57312e+07
37000000	3.67207e+07
38000000	3.77101e+07
39000000	3.86993e+07
40000000	3.96884e+07
41000000	4.06774e+07
42000000	4.16662e+07
43000000	4.2655e+07
44000000	4.36436e+07
45000000	4.46321e+07
46000000	4.56204e+07
47000000	4.66087e+07
48000000	4.75968e+07
49000000	4.85848e+07
